model,fc_mean_norm,cr_mean_norm,ef_mean_norm,ma_mean_norm,cqs_equal_25,sa_FC_10pct,sa_FC_25pct,sa_FC_40pct,sa_FC_55pct,sa_CR_10pct,sa_CR_25pct,sa_CR_40pct,sa_CR_55pct,sa_EF_10pct,sa_EF_25pct,sa_EF_40pct,sa_EF_55pct,sa_MA_10pct,sa_MA_25pct,sa_MA_40pct,sa_MA_55pct
ChatGPT (GPT-4o),1.0,0.7459,0.4603,0.5,0.6765,0.5219,0.489,0.5012,0.5584,0.5981,0.5526,0.5521,0.5965,0.6838,0.624,0.6092,0.6394,0.6719,0.614,0.6012,0.6334
Claude (3.5 Sonnet),1.0,0.8912,1.0,1.0,0.9728,0.8774,0.7853,0.7382,0.7362,0.91,0.8125,0.76,0.7525,0.8774,0.7853,0.7382,0.7362,0.8774,0.7853,0.7382,0.7362
GitHub Copilot,0.96,0.6346,0.035,0.4,0.5074,0.3309,0.3299,0.3739,0.4629,0.4285,0.4113,0.439,0.5117,0.6084,0.5612,0.5589,0.6017,0.4989,0.4699,0.4859,0.5469
